outlay_category,outlay_subcategory,baseline_date,baseline_name,APB_flag,projected_fiscal_year,projected_year_number,baseline_projected_outlay,actual_outlay,legislative_outlay_change,adjusted_projection,projection_error,projection_error_pct_actual
Total,Total,1992-03-01,March 1992 Baseline,True,1993,2,1509.6,1409.4,8.5,1518.1,108.7,7.7
Total,Total,1992-03-01,March 1992 Baseline,True,1994,3,1528.8,1461.8,8.4,1537.2,75.4,5.2
Total,Total,1992-03-01,March 1992 Baseline,True,1995,4,1542.8,1515.7,-1.9,1540.9,25.2,1.7
Total,Total,1992-03-01,March 1992 Baseline,True,1996,5,1602.0,1560.5,-43.2,1558.8,-1.7,-0.1
Total,Total,1992-03-01,March 1992 Baseline,True,1997,6,1726.4,1601.1,-75.7,1650.7,49.5,3.1
Total,Total,1993-03-01,March 1993 Baseline,True,1993,1,1443.5,1409.4,3.6,1447.1,37.7,2.7
Total,Total,1993-03-01,March 1993 Baseline,True,1994,2,1501.1,1461.8,5.9,1507.0,45.3,3.1
Total,Total,1993-03-01,March 1993 Baseline,True,1995,3,1574.1,1515.7,-2.4,1571.7,56.0,3.7
Total,Total,1993-03-01,March 1993 Baseline,True,1996,4,1645.4,1560.5,-43.8,1601.6,41.1,2.6
Total,Total,1993-03-01,March 1993 Baseline,True,1997,5,1734.3,1601.1,-75.8,1658.5,57.4,3.6
Total,Total,1993-03-01,March 1993 Baseline,True,1998,6,1840.2,1652.5,-81.6,1758.6,106.1,6.4
Total,Total,1994-04-01,April 1994 Baseline,True,1994,1,1478.3,1461.8,0.3,1478.5,16.8,1.1
Total,Total,1994-04-01,April 1994 Baseline,True,1995,2,1517.7,1515.7,2.8,1520.5,4.8,0.3
Total,Total,1994-04-01,April 1994 Baseline,True,1996,3,1590.6,1560.5,-15.4,1575.2,14.7,0.9
Total,Total,1994-04-01,April 1994 Baseline,True,1997,4,1670.3,1601.1,-19.3,1651.0,49.9,3.1
Total,Total,1994-04-01,April 1994 Baseline,True,1998,5,1743.1,1652.5,2.4,1745.6,93.1,5.6
Total,Total,1994-04-01,April 1994 Baseline,True,1999,6,1842.6,1701.8,0.9,1843.5,141.6,8.3
Total,Total,1995-04-01,April 1995 Baseline,True,1995,1,1529.9,1515.7,-0.1,1529.8,14.1,0.9
Total,Total,1995-04-01,April 1995 Baseline,True,1996,2,1628.0,1560.5,-16.3,1611.7,51.2,3.3
Total,Total,1995-04-01,April 1995 Baseline,True,1997,3,1705.6,1601.1,-19.4,1686.1,85.0,5.3
Total,Total,1995-04-01,April 1995 Baseline,True,1998,4,1778.4,1652.5,2.5,1780.8,128.4,7.8
Total,Total,1995-04-01,April 1995 Baseline,True,1999,5,1884.6,1701.8,1.0,1885.6,183.8,10.8
Total,Total,1995-04-01,April 1995 Baseline,True,2000,6,1996.7,1789.0,18.6,2015.3,226.3,12.7
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1996,1,1572.2,1560.5,1.0,1573.3,12.8,0.8
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1997,2,1654.0,1601.1,-12.6,1641.4,40.3,2.5
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1998,3,1737.4,1652.5,3.7,1741.1,88.6,5.4
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1999,4,1828.2,1701.8,3.4,1831.6,129.7,7.6
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2000,5,1925.1,1789.0,21.2,1946.2,157.3,8.8
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2001,6,2016.4,1862.8,54.4,2070.9,208.0,11.2
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2002,7,2125.3,2010.9,107.7,2232.9,222.1,11.0
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2003,8,2241.8,2159.9,235.7,2477.4,317.5,14.7
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2004,9,2365.3,2292.8,300.7,2666.0,373.2,16.3
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2005,10,2500.0,2472.0,375.8,2875.8,403.8,16.3
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2006,11,2635.6,2655.1,469.9,3105.5,450.4,17.0
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),True,1997,1,1622.0,1601.1,0.9,1622.9,21.7,1.4
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),True,1998,2,1688.6,1652.5,12.0,1700.6,48.2,2.9
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),True,1999,3,1781.9,1701.8,13.7,1795.6,93.8,5.5
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),True,2000,4,1877.3,1789.0,32.7,1910.0,121.1,6.8
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),True,2001,5,1947.3,1862.8,67.5,2014.8,151.9,8.2
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),True,2002,6,2047.7,2010.9,124.4,2172.1,161.2,8.0
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),True,2003,7,2145.1,2159.9,254.2,2399.3,239.4,11.1
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),True,2004,8,2253.2,2292.8,321.7,2574.9,282.1,12.3
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),True,2005,9,2382.9,2472.0,400.3,2783.2,311.2,12.6
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),True,2006,10,2494.9,2655.1,497.1,2992.0,336.9,12.7
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),True,2007,11,2610.6,2728.7,575.4,3186.1,457.4,16.8
Total,Total,1998-03-01,March 1998 Baseline,True,1998,1,1672.0,1652.5,1.1,1673.1,20.6,1.2
Total,Total,1998-03-01,March 1998 Baseline,True,1999,2,1729.9,1701.8,23.5,1753.4,51.5,3.0
Total,Total,1998-03-01,March 1998 Baseline,True,2000,3,1782.3,1789.0,76.0,1858.3,69.4,3.9
Total,Total,1998-03-01,March 1998 Baseline,True,2001,4,1833.4,1862.8,115.3,1948.7,85.9,4.6
Total,Total,1998-03-01,March 1998 Baseline,True,2002,5,1863.0,2010.9,233.8,2096.8,85.9,4.3
Total,Total,1998-03-01,March 1998 Baseline,True,2003,6,1954.3,2159.9,355.5,2309.7,149.8,6.9
Total,Total,1998-03-01,March 1998 Baseline,True,2004,7,2034.6,2292.8,435.4,2470.0,177.1,7.7
Total,Total,1998-03-01,March 1998 Baseline,True,2005,8,2133.6,2472.0,527.7,2661.3,189.3,7.7
Total,Total,1998-03-01,March 1998 Baseline,True,2006,9,2198.6,2655.1,649.3,2847.9,192.9,7.3
Total,Total,1998-03-01,March 1998 Baseline,True,2007,10,2296.5,2728.7,720.3,3016.8,288.1,10.6
Total,Total,1998-03-01,March 1998 Baseline,True,2008,11,2402.3,2982.5,870.8,3273.1,290.6,9.7
Total,Total,1999-04-01,April 1999 Baseline,True,1999,1,1704.1,1701.8,3.7,1707.8,5.9,0.3
Total,Total,1999-04-01,April 1999 Baseline,True,2000,2,1737.0,1789.0,63.8,1800.8,11.9,0.7
Total,Total,1999-04-01,April 1999 Baseline,True,2001,3,1774.7,1862.8,108.5,1883.2,20.4,1.1
Total,Total,1999-04-01,April 1999 Baseline,True,2002,4,1802.2,2010.9,226.7,2028.9,18.0,0.9
Total,Total,1999-04-01,April 1999 Baseline,True,2003,5,1878.0,2159.9,349.1,2227.1,67.2,3.1
Total,Total,1999-04-01,April 1999 Baseline,True,2004,6,1945.5,2292.8,430.4,2375.9,83.1,3.6
Total,Total,1999-04-01,April 1999 Baseline,True,2005,7,2025.1,2472.0,523.8,2548.9,76.9,3.1
Total,Total,1999-04-01,April 1999 Baseline,True,2006,8,2083.2,2655.1,645.6,2728.8,73.8,2.8
Total,Total,1999-04-01,April 1999 Baseline,True,2007,9,2162.1,2728.7,716.7,2878.8,150.1,5.5
Total,Total,1999-04-01,April 1999 Baseline,True,2008,10,2252.5,2982.5,868.4,3120.9,138.3,4.6
Total,Total,1999-04-01,April 1999 Baseline,True,2009,11,2344.1,3426.4,1303.3,3647.4,221.0,6.5
Total,Total,2000-04-01,April 2000 Baseline,True,2000,1,1765.7,1789.0,23.1,1788.9,-0.1,-0.0
Total,Total,2000-04-01,April 2000 Baseline,True,2001,2,1777.3,1862.8,94.2,1871.5,8.6,0.5
Total,Total,2000-04-01,April 2000 Baseline,True,2002,3,1799.3,2010.9,214.7,2014.0,3.1,0.2
Total,Total,2000-04-01,April 2000 Baseline,True,2003,4,1852.9,2159.9,338.8,2191.7,31.8,1.5
Total,Total,2000-04-01,April 2000 Baseline,True,2004,5,1914.8,2292.8,420.7,2335.4,42.6,1.9
Total,Total,2000-04-01,April 2000 Baseline,True,2005,6,1982.5,2472.0,513.7,2496.1,24.2,1.0
Total,Total,2000-04-01,April 2000 Baseline,True,2006,7,2025.2,2655.1,634.9,2660.1,5.1,0.2
Total,Total,2000-04-01,April 2000 Baseline,True,2007,8,2085.1,2728.7,705.0,2790.1,61.4,2.3
Total,Total,2000-04-01,April 2000 Baseline,True,2008,9,2159.2,2982.5,855.7,3014.9,32.3,1.1
Total,Total,2000-04-01,April 2000 Baseline,True,2009,10,2232.9,3426.4,1290.0,3522.9,96.5,2.8
Total,Total,2000-04-01,April 2000 Baseline,True,2010,11,2312.3,3416.6,1358.9,3671.2,254.6,7.5
Total,Total,2001-05-01,May 2001 Baseline,True,2001,1,1839.3,1862.8,13.5,1852.8,-10.1,-0.5
Total,Total,2001-05-01,May 2001 Baseline,True,2002,2,1921.8,2010.9,75.4,1997.2,-13.7,-0.7
Total,Total,2001-05-01,May 2001 Baseline,True,2003,3,1984.6,2159.9,184.9,2169.5,9.6,0.4
Total,Total,2001-05-01,May 2001 Baseline,True,2004,4,2053.5,2292.8,254.9,2308.4,15.6,0.7
Total,Total,2001-05-01,May 2001 Baseline,True,2005,5,2133.1,2472.0,332.1,2465.2,-6.7,-0.3
Total,Total,2001-05-01,May 2001 Baseline,True,2006,6,2180.6,2655.1,443.1,2623.6,-31.4,-1.2
Total,Total,2001-05-01,May 2001 Baseline,True,2007,7,2237.5,2728.7,501.0,2738.5,9.9,0.4
Total,Total,2001-05-01,May 2001 Baseline,True,2008,8,2313.8,2982.5,633.9,2947.7,-34.8,-1.2
Total,Total,2001-05-01,May 2001 Baseline,True,2009,9,2388.6,3426.4,1050.8,3439.4,13.0,0.4
Total,Total,2001-05-01,May 2001 Baseline,True,2010,10,2465.3,3416.6,1101.7,3567.0,150.4,4.4
Total,Total,2001-05-01,May 2001 Baseline,True,2011,11,2564.4,3597.9,1139.1,3703.5,105.6,2.9
Total,Total,2002-03-01,March 2002 Baseline,True,2002,1,2000.7,2010.9,16.0,2016.7,5.8,0.3
Total,Total,2002-03-01,March 2002 Baseline,True,2003,2,2079.6,2159.9,113.0,2192.6,32.7,1.5
Total,Total,2002-03-01,March 2002 Baseline,True,2004,3,2148.0,2292.8,170.9,2319.0,26.1,1.1
Total,Total,2002-03-01,March 2002 Baseline,True,2005,4,2230.7,2472.0,237.2,2468.0,-4.0,-0.2
Total,Total,2002-03-01,March 2002 Baseline,True,2006,5,2312.3,2655.1,332.3,2644.6,-10.5,-0.4
Total,Total,2002-03-01,March 2002 Baseline,True,2007,6,2393.7,2728.7,375.4,2769.1,40.4,1.5
Total,Total,2002-03-01,March 2002 Baseline,True,2008,7,2494.4,2982.5,492.3,2986.7,4.2,0.1
Total,Total,2002-03-01,March 2002 Baseline,True,2009,8,2594.5,3426.4,892.4,3486.9,60.5,1.8
Total,Total,2002-03-01,March 2002 Baseline,True,2010,9,2700.6,3416.6,922.7,3623.3,206.7,6.0
Total,Total,2002-03-01,March 2002 Baseline,True,2011,10,2825.1,3597.9,939.5,3764.5,166.7,4.6
Total,Total,2002-03-01,March 2002 Baseline,True,2012,11,2897.6,3526.5,893.8,3791.4,265.0,7.5
Total,Total,2003-03-01,March 2003 Baseline,True,2003,1,2137.3,2159.9,45.7,2183.0,23.1,1.1
Total,Total,2003-03-01,March 2003 Baseline,True,2004,2,2224.1,2292.8,97.3,2321.4,28.5,1.2
Total,Total,2003-03-01,March 2003 Baseline,True,2005,3,2327.6,2472.0,155.4,2483.1,11.1,0.4
Total,Total,2003-03-01,March 2003 Baseline,True,2006,4,2417.2,2655.1,249.6,2666.8,11.8,0.4
Total,Total,2003-03-01,March 2003 Baseline,True,2007,5,2513.1,2728.7,289.7,2802.7,74.0,2.7
Total,Total,2003-03-01,March 2003 Baseline,True,2008,6,2620.9,2982.5,400.7,3021.6,39.1,1.3
Total,Total,2003-03-01,March 2003 Baseline,True,2009,7,2736.1,3426.4,795.5,3531.7,105.2,3.1
Total,Total,2003-03-01,March 2003 Baseline,True,2010,8,2853.0,3416.6,820.7,3673.7,257.1,7.5
Total,Total,2003-03-01,March 2003 Baseline,True,2011,9,2988.9,3597.9,831.9,3820.8,222.9,6.2
Total,Total,2003-03-01,March 2003 Baseline,True,2012,10,3073.9,3526.5,780.8,3854.7,328.3,9.3
Total,Total,2003-03-01,March 2003 Baseline,True,2013,11,3215.1,3551.6,693.8,3909.0,357.4,10.1
Total,Total,2004-03-01,March 2004 Baseline,True,2004,1,2294.8,2292.8,0.6,2295.4,2.6,0.1
Total,Total,2004-03-01,March 2004 Baseline,True,2005,2,2412.8,2472.0,37.7,2450.6,-21.4,-0.9
Total,Total,2004-03-01,March 2004 Baseline,True,2006,3,2527.9,2655.1,99.6,2627.5,-27.5,-1.0
Total,Total,2004-03-01,March 2004 Baseline,True,2007,4,2658.7,2728.7,110.3,2769.0,40.3,1.5
Total,Total,2004-03-01,March 2004 Baseline,True,2008,5,2790.5,2982.5,201.7,2992.3,9.7,0.3
Total,Total,2004-03-01,March 2004 Baseline,True,2009,6,2923.8,3426.4,578.4,3502.2,75.8,2.2
Total,Total,2004-03-01,March 2004 Baseline,True,2010,7,3057.4,3416.6,584.1,3641.4,224.8,6.6
Total,Total,2004-03-01,March 2004 Baseline,True,2011,8,3210.5,3597.9,575.4,3785.9,188.0,5.2
Total,Total,2004-03-01,March 2004 Baseline,True,2012,9,3308.6,3526.5,503.5,3812.0,285.6,8.1
Total,Total,2004-03-01,March 2004 Baseline,True,2013,10,3473.4,3551.6,392.3,3865.7,314.1,8.8
Total,Total,2004-03-01,March 2004 Baseline,True,2014,11,3634.7,3580.7,357.4,3992.1,411.5,11.5
Total,Total,2005-03-01,March 2005 Baseline,True,2005,1,2422.1,2472.0,35.0,2457.0,-14.9,-0.6
Total,Total,2005-03-01,March 2005 Baseline,True,2006,2,2510.7,2655.1,135.0,2645.7,-9.4,-0.4
Total,Total,2005-03-01,March 2005 Baseline,True,2007,3,2625.3,2728.7,172.1,2797.3,68.7,2.5
Total,Total,2005-03-01,March 2005 Baseline,True,2008,4,2754.0,2982.5,271.1,3025.1,42.5,1.4
Total,Total,2005-03-01,March 2005 Baseline,True,2009,5,2881.1,3426.4,650.2,3531.2,104.8,3.1
Total,Total,2005-03-01,March 2005 Baseline,True,2010,6,3007.7,3416.6,662.7,3670.4,253.8,7.4
Total,Total,2005-03-01,March 2005 Baseline,True,2011,7,3157.2,3597.9,662.9,3820.0,222.2,6.2
Total,Total,2005-03-01,March 2005 Baseline,True,2012,8,3246.3,3526.5,596.2,3842.5,316.1,9.0
Total,Total,2005-03-01,March 2005 Baseline,True,2013,9,3405.6,3551.6,491.4,3897.0,345.4,9.7
Total,Total,2005-03-01,March 2005 Baseline,True,2014,10,3558.6,3580.7,462.2,4020.8,440.1,12.3
Total,Total,2005-03-01,March 2005 Baseline,True,2015,11,3724.7,3714.6,460.9,4185.6,471.0,12.7
Total,Total,2006-03-01,March 2006 Baseline,True,2006,1,2648.4,2655.1,26.0,2674.4,19.4,0.7
Total,Total,2006-03-01,March 2006 Baseline,True,2007,2,2726.2,2728.7,83.1,2809.3,80.6,3.0
Total,Total,2006-03-01,March 2006 Baseline,True,2008,3,2848.6,2982.5,188.4,3036.9,54.4,1.8
Total,Total,2006-03-01,March 2006 Baseline,True,2009,4,2967.7,3426.4,581.5,3549.2,122.8,3.6
Total,Total,2006-03-01,March 2006 Baseline,True,2010,5,3098.9,3416.6,582.0,3680.9,264.2,7.7
Total,Total,2006-03-01,March 2006 Baseline,True,2011,6,3256.2,3597.9,576.5,3832.7,234.9,6.5
Total,Total,2006-03-01,March 2006 Baseline,True,2012,7,3320.8,3526.5,506.9,3827.7,301.3,8.5
Total,Total,2006-03-01,March 2006 Baseline,True,2013,8,3493.1,3551.6,394.9,3887.9,336.4,9.5
Total,Total,2006-03-01,March 2006 Baseline,True,2014,9,3650.2,3580.7,358.2,4008.4,427.8,11.9
Total,Total,2006-03-01,March 2006 Baseline,True,2015,10,3822.3,3714.6,350.3,4172.6,458.0,12.3
Total,Total,2006-03-01,March 2006 Baseline,True,2016,11,4043.8,3866.9,400.9,4444.7,577.8,14.9
Total,Total,2007-03-01,March 2007 Baseline,True,2007,1,2719.1,2728.7,28.5,2747.7,19.0,0.7
Total,Total,2007-03-01,March 2007 Baseline,True,2008,2,2833.1,2982.5,150.7,2983.8,1.3,0.0
Total,Total,2007-03-01,March 2007 Baseline,True,2009,3,2943.6,3426.4,556.1,3499.6,73.2,2.1
Total,Total,2007-03-01,March 2007 Baseline,True,2010,4,3057.9,3416.6,561.9,3619.8,203.2,5.9
Total,Total,2007-03-01,March 2007 Baseline,True,2011,5,3201.7,3597.9,561.1,3762.8,164.9,4.6
Total,Total,2007-03-01,March 2007 Baseline,True,2012,6,3250.1,3526.5,490.7,3740.8,214.4,6.1
Total,Total,2007-03-01,March 2007 Baseline,True,2013,7,3411.4,3551.6,377.1,3788.5,237.0,6.7
Total,Total,2007-03-01,March 2007 Baseline,True,2014,8,3555.1,3580.7,339.2,3894.3,313.6,8.8
Total,Total,2007-03-01,March 2007 Baseline,True,2015,9,3710.2,3714.6,330.7,4040.8,326.3,8.8
Total,Total,2007-03-01,March 2007 Baseline,True,2016,10,3921.1,3866.9,379.5,4300.6,433.7,11.2
Total,Total,2007-03-01,March 2007 Baseline,True,2017,11,4067.2,4010.2,409.5,4476.8,466.5,11.6
Total,Total,2008-03-01,March 2008 Baseline,True,2008,1,2903.1,2982.5,38.9,2941.9,-40.6,-1.4
Total,Total,2008-03-01,March 2008 Baseline,True,2009,2,2999.7,3426.4,465.5,3465.2,38.8,1.1
Total,Total,2008-03-01,March 2008 Baseline,True,2010,3,3129.5,3416.6,470.4,3599.9,183.3,5.4
Total,Total,2008-03-01,March 2008 Baseline,True,2011,4,3293.9,3597.9,464.1,3758.1,160.2,4.5
Total,Total,2008-03-01,March 2008 Baseline,True,2012,5,3358.4,3526.5,386.2,3744.6,218.2,6.2
Total,Total,2008-03-01,March 2008 Baseline,True,2013,6,3530.1,3551.6,263.8,3793.9,242.3,6.8
Total,Total,2008-03-01,March 2008 Baseline,True,2014,7,3680.1,3580.7,223.0,3903.1,322.4,9.0
Total,Total,2008-03-01,March 2008 Baseline,True,2015,8,3843.2,3714.6,207.3,4050.5,335.9,9.0
Total,Total,2008-03-01,March 2008 Baseline,True,2016,9,4059.2,3866.9,249.3,4308.5,441.6,11.4
Total,Total,2008-03-01,March 2008 Baseline,True,2017,10,4206.9,4010.2,271.6,4478.5,468.3,11.7
Total,Total,2008-03-01,March 2008 Baseline,True,2018,11,4353.5,4118.5,369.7,4723.2,604.6,14.7
Total,Total,2009-03-01,March 2009 Baseline,True,2009,1,3562.3,3426.4,31.4,3593.7,167.3,4.9
Total,Total,2009-03-01,March 2009 Baseline,True,2010,2,3447.0,3416.6,147.1,3594.1,177.5,5.2
Total,Total,2009-03-01,March 2009 Baseline,True,2011,3,3455.0,3597.9,242.4,3697.4,99.5,2.8
Total,Total,2009-03-01,March 2009 Baseline,True,2012,4,3401.1,3526.5,238.2,3639.4,112.9,3.2
Total,Total,2009-03-01,March 2009 Baseline,True,2013,5,3567.4,3551.6,123.1,3690.5,138.9,3.9
Total,Total,2009-03-01,March 2009 Baseline,True,2014,6,3740.9,3580.7,73.3,3814.3,233.6,6.5
Total,Total,2009-03-01,March 2009 Baseline,True,2015,7,3887.5,3714.6,63.0,3950.5,235.9,6.4
Total,Total,2009-03-01,March 2009 Baseline,True,2016,8,4084.8,3866.9,113.2,4198.1,331.1,8.6
Total,Total,2009-03-01,March 2009 Baseline,True,2017,9,4235.6,4010.2,134.4,4370.0,359.8,9.0
Total,Total,2009-03-01,March 2009 Baseline,True,2018,10,4404.9,4118.5,234.5,4639.4,520.8,12.6
Total,Total,2009-03-01,March 2009 Baseline,True,2019,11,4668.0,4466.1,314.0,4982.0,515.8,11.5
Total,Total,2010-03-01,Final March 2010 baseline,True,2010,1,3524.4,3416.6,20.9,3545.3,128.7,3.8
Total,Total,2010-03-01,Final March 2010 baseline,True,2011,2,3655.3,3597.9,135.4,3790.7,192.8,5.4
Total,Total,2010-03-01,Final March 2010 baseline,True,2012,3,3598.2,3526.5,125.4,3723.6,197.2,5.6
Total,Total,2010-03-01,Final March 2010 baseline,True,2013,4,3737.8,3551.6,5.1,3742.9,191.3,5.4
Total,Total,2010-03-01,Final March 2010 baseline,True,2014,5,3925.0,3580.7,-49.0,3876.0,295.3,8.2
Total,Total,2010-03-01,Final March 2010 baseline,True,2015,6,4094.3,3714.6,-66.6,4027.7,313.1,8.4
Total,Total,2010-03-01,Final March 2010 baseline,True,2016,7,4325.7,3866.9,-26.0,4299.7,432.7,11.2
Total,Total,2010-03-01,Final March 2010 baseline,True,2017,8,4516.4,4010.2,-15.3,4501.1,490.9,12.2
Total,Total,2010-03-01,Final March 2010 baseline,True,2018,9,4704.8,4118.5,73.5,4778.3,659.8,16.0
Total,Total,2010-03-01,Final March 2010 baseline,True,2019,10,4993.0,4466.1,139.1,5132.1,666.0,14.9
