component,category,subcategory,fiscal_year,actual_value,GDP,actuals_pct_GDP
outlay,Mandatory,Other Mandatory,1995,159.6,7560.4,2.1
outlay,Mandatory,Other Mandatory,1996,176.4,7951.3,2.2
outlay,Mandatory,Other Mandatory,1997,164.8,8451.0,2.0
outlay,Mandatory,Other Mandatory,1998,191.8,8930.8,2.1
outlay,Mandatory,Other Mandatory,1999,217.2,9479.6,2.3
outlay,Mandatory,Other Mandatory,2000,233.3,10117.1,2.3
outlay,Mandatory,Other Mandatory,2001,234.8,10525.7,2.2
outlay,Mandatory,Other Mandatory,2002,278.7,10828.9,2.6
outlay,Mandatory,Other Mandatory,2003,305.6,11278.8,2.7
outlay,Mandatory,Other Mandatory,2004,304.9,12028.4,2.5
outlay,Mandatory,Other Mandatory,2005,324.7,12840.0,2.5
outlay,Mandatory,Other Mandatory,2006,362.4,13636.8,2.7
outlay,Mandatory,Other Mandatory,2007,307.1,14305.4,2.1
outlay,Mandatory,Other Mandatory,2008,395.6,14796.6,2.7
outlay,Mandatory,Other Mandatory,2009,648.2,14467.3,4.5
outlay,Mandatory,Other Mandatory,2010,453.3,14884.4,3.0
outlay,Mandatory,Other Mandatory,2011,541.0,15466.5,3.5
outlay,Mandatory,Other Mandatory,2012,546.1,16109.4,3.4
outlay,Mandatory,Other Mandatory,2013,563.3,16687.8,3.4
outlay,Mandatory,Other Mandatory,2014,521.2,17428.1,3.0
outlay,Mandatory,Other Mandatory,2015,547.7,18164.2,3.0
outlay,Mandatory,Other Mandatory,2016,574.7,18641.3,3.1
outlay,Mandatory,Other Mandatory,2017,642.1,19375.2,3.3
outlay,Mandatory,Other Mandatory,2018,579.0,20436.3,2.8
outlay,Mandatory,Other Mandatory,2019,661.2,21286.2,3.1
outlay,Mandatory,Other Mandatory,2020,2267.2,21320.2,10.6
outlay,Mandatory,Other Mandatory,2021,2500.4,23004.1,10.9
outlay,Mandatory,Other Mandatory,2022,1208.4,25517.6,4.7
outlay,Mandatory,Other Mandatory,2023,1294.7,27330.0,4.7
outlay,Mandatory,Other Mandatory,2024,1128.7,28828.2,3.9
outlay,Mandatory,Social Security,1992,285.2,6416.2,4.4
outlay,Mandatory,Social Security,1993,302.0,6775.3,4.5
outlay,Mandatory,Social Security,1994,316.9,7176.9,4.4
outlay,Mandatory,Social Security,1995,333.3,7560.4,4.4
outlay,Mandatory,Social Security,1996,347.1,7951.3,4.4
outlay,Mandatory,Social Security,1997,362.3,8451.0,4.3
outlay,Mandatory,Social Security,1998,376.1,8930.8,4.2
outlay,Mandatory,Social Security,1999,387.0,9479.6,4.1
outlay,Mandatory,Social Security,2000,406.0,10117.1,4.0
outlay,Mandatory,Social Security,2001,429.4,10525.7,4.1
outlay,Mandatory,Social Security,2002,452.1,10828.9,4.2
outlay,Mandatory,Social Security,2003,470.5,11278.8,4.2
outlay,Mandatory,Social Security,2004,491.5,12028.4,4.1
outlay,Mandatory,Social Security,2005,518.7,12840.0,4.0
outlay,Mandatory,Social Security,2006,543.9,13636.8,4.0
outlay,Mandatory,Social Security,2007,581.4,14305.4,4.1
outlay,Mandatory,Social Security,2008,612.1,14796.6,4.1
outlay,Mandatory,Social Security,2009,677.7,14467.3,4.7
outlay,Mandatory,Social Security,2010,700.8,14884.4,4.7
outlay,Mandatory,Social Security,2011,724.9,15466.5,4.7
outlay,Mandatory,Social Security,2012,767.7,16109.4,4.8
outlay,Mandatory,Social Security,2013,807.8,16687.8,4.8
outlay,Mandatory,Social Security,2014,844.9,17428.1,4.8
outlay,Mandatory,Social Security,2015,881.9,18164.2,4.9
outlay,Mandatory,Social Security,2016,910.3,18641.3,4.9
outlay,Mandatory,Social Security,2017,939.2,19375.2,4.8
outlay,Mandatory,Social Security,2018,982.0,20436.3,4.8
outlay,Mandatory,Social Security,2019,1038.5,21286.2,4.9
outlay,Mandatory,Social Security,2020,1089.9,21320.2,5.1
outlay,Mandatory,Social Security,2021,1128.8,23004.1,4.9
outlay,Mandatory,Social Security,2022,1212.5,25517.6,4.8
outlay,Mandatory,Social Security,2023,1348.0,27330.0,4.9
outlay,Mandatory,Social Security,2024,1454.4,28828.2,5.0
outlay,Mandatory,Student Loan Foregiveness,2022,378.7,25517.6,1.5
outlay,Mandatory,Student Loan Foregiveness,2023,-333.0,27330.0,-1.2
outlay,Mandatory,Total Mandatory,1992,648.4,6416.2,10.1
outlay,Mandatory,Total Mandatory,1993,670.9,6775.3,9.9
outlay,Mandatory,Total Mandatory,1994,717.5,7176.9,10.0
outlay,Mandatory,Total Mandatory,1995,738.8,7560.4,9.8
outlay,Mandatory,Total Mandatory,1996,786.7,7951.3,9.9
outlay,Mandatory,Total Mandatory,1997,810.1,8451.0,9.6
outlay,Mandatory,Total Mandatory,1998,859.3,8930.8,9.6
outlay,Mandatory,Total Mandatory,1999,900.0,9479.6,9.5
outlay,Mandatory,Total Mandatory,2000,951.4,10117.1,9.4
outlay,Mandatory,Total Mandatory,2001,1007.6,10525.7,9.6
outlay,Mandatory,Total Mandatory,2002,1106.0,10828.9,10.2
outlay,Mandatory,Total Mandatory,2003,1182.5,11278.8,10.5
outlay,Mandatory,Total Mandatory,2004,1237.5,12028.4,10.3
outlay,Mandatory,Total Mandatory,2005,1319.4,12840.0,10.3
outlay,Mandatory,Total Mandatory,2006,1411.8,13636.8,10.4
outlay,Mandatory,Total Mandatory,2007,1450.0,14305.4,10.1
outlay,Mandatory,Total Mandatory,2008,1594.9,14796.6,10.8
outlay,Mandatory,Total Mandatory,2009,2002.0,14467.3,13.8
outlay,Mandatory,Total Mandatory,2010,1873.3,14884.4,12.6
outlay,Mandatory,Total Mandatory,2011,2020.8,15466.5,13.1
outlay,Mandatory,Total Mandatory,2012,2030.3,16109.4,12.6
outlay,Mandatory,Total Mandatory,2013,2128.3,16687.8,12.8
outlay,Mandatory,Total Mandatory,2014,2172.9,17428.1,12.5
outlay,Mandatory,Total Mandatory,2015,2319.3,18164.2,12.8
outlay,Mandatory,Total Mandatory,2016,2441.6,18641.3,13.1
outlay,Mandatory,Total Mandatory,2017,2547.3,19375.2,13.1
outlay,Mandatory,Total Mandatory,2018,2532.0,20436.3,12.4
outlay,Mandatory,Total Mandatory,2019,2753.0,21286.2,12.9
outlay,Mandatory,Total Mandatory,2020,4584.5,21320.2,21.5
outlay,Mandatory,Total Mandatory,2021,4838.6,23004.1,21.0
outlay,Mandatory,Total Mandatory,2022,3760.0,25517.6,14.7
outlay,Mandatory,Total Mandatory,2023,4097.5,27330.0,15.0
outlay,Mandatory,Total Mandatory,2024,4065.9,28828.2,14.1
outlay,Net Interest,Net Interest,1992,199.3,6416.2,3.1
outlay,Net Interest,Net Interest,1993,198.7,6775.3,2.9
outlay,Net Interest,Net Interest,1994,202.9,7176.9,2.8
outlay,Net Interest,Net Interest,1995,232.1,7560.4,3.1
outlay,Net Interest,Net Interest,1996,241.1,7951.3,3.0
outlay,Net Interest,Net Interest,1997,244.0,8451.0,2.9
outlay,Net Interest,Net Interest,1998,241.1,8930.8,2.7
outlay,Net Interest,Net Interest,1999,229.8,9479.6,2.4
outlay,Net Interest,Net Interest,2000,222.9,10117.1,2.2
outlay,Net Interest,Net Interest,2001,206.2,10525.7,2.0
outlay,Net Interest,Net Interest,2002,170.9,10828.9,1.6
outlay,Net Interest,Net Interest,2003,153.1,11278.8,1.4
outlay,Net Interest,Net Interest,2004,160.2,12028.4,1.3
outlay,Net Interest,Net Interest,2005,184.0,12840.0,1.4
outlay,Net Interest,Net Interest,2006,226.6,13636.8,1.7
outlay,Net Interest,Net Interest,2007,237.1,14305.4,1.7
outlay,Net Interest,Net Interest,2008,252.8,14796.6,1.7
outlay,Net Interest,Net Interest,2009,186.9,14467.3,1.3
outlay,Net Interest,Net Interest,2010,196.2,14884.4,1.3
outlay,Net Interest,Net Interest,2011,230.0,15466.5,1.5
outlay,Net Interest,Net Interest,2012,220.4,16109.4,1.4
outlay,Net Interest,Net Interest,2013,220.9,16687.8,1.3
outlay,Net Interest,Net Interest,2014,229.0,17428.1,1.3
outlay,Net Interest,Net Interest,2015,223.2,18164.2,1.2
outlay,Net Interest,Net Interest,2016,240.0,18641.3,1.3
outlay,Net Interest,Net Interest,2017,262.6,19375.2,1.4
outlay,Net Interest,Net Interest,2018,325.0,20436.3,1.6
outlay,Net Interest,Net Interest,2019,375.2,21286.2,1.8
outlay,Net Interest,Net Interest,2020,345.5,21320.2,1.6
outlay,Net Interest,Net Interest,2021,352.3,23004.1,1.5
outlay,Net Interest,Net Interest,2022,475.9,25517.6,1.9
outlay,Net Interest,Net Interest,2023,658.3,27330.0,2.4
outlay,Net Interest,Net Interest,2024,881.1,28828.2,3.1
outlay,Total,Total,1984,851.8,3949.2,21.6
outlay,Total,Total,1985,946.3,4265.1,22.2
outlay,Total,Total,1986,990.4,4526.2,21.9
outlay,Total,Total,1987,1004.0,4767.6,21.1
outlay,Total,Total,1988,1064.4,5138.6,20.7
outlay,Total,Total,1989,1143.7,5554.7,20.6
outlay,Total,Total,1990,1253.0,5898.8,21.2
outlay,Total,Total,1991,1324.2,6093.2,21.7
outlay,Total,Total,1992,1381.5,6416.2,21.5
outlay,Total,Total,1993,1409.4,6775.3,20.8
outlay,Total,Total,1994,1461.8,7176.9,20.4
outlay,Total,Total,1995,1515.7,7560.4,20.0
outlay,Total,Total,1996,1560.5,7951.3,19.6
outlay,Total,Total,1997,1601.1,8451.0,18.9
outlay,Total,Total,1998,1652.5,8930.8,18.5
outlay,Total,Total,1999,1701.8,9479.6,18.0
outlay,Total,Total,2000,1789.0,10117.1,17.7
outlay,Total,Total,2001,1862.8,10525.7,17.7
outlay,Total,Total,2002,2010.9,10828.9,18.6
outlay,Total,Total,2003,2159.9,11278.8,19.2
outlay,Total,Total,2004,2292.8,12028.4,19.1
outlay,Total,Total,2005,2472.0,12840.0,19.3
outlay,Total,Total,2006,2655.1,13636.8,19.5
outlay,Total,Total,2007,2728.7,14305.4,19.1
outlay,Total,Total,2008,2982.5,14796.6,20.2
outlay,Total,Total,2009,3426.4,14467.3,23.7
outlay,Total,Total,2010,3416.6,14884.4,23.0
outlay,Total,Total,2011,3597.9,15466.5,23.3
outlay,Total,Total,2012,3526.5,16109.4,21.9
outlay,Total,Total,2013,3551.6,16687.8,21.3
outlay,Total,Total,2014,3580.7,17428.1,20.5
outlay,Total,Total,2015,3714.6,18164.2,20.4
outlay,Total,Total,2016,3866.9,18641.3,20.7
outlay,Total,Total,2017,4010.2,19375.2,20.7
outlay,Total,Total,2018,4118.5,20436.3,20.2
outlay,Total,Total,2019,4466.1,21286.2,21.0
outlay,Total,Total,2020,6557.9,21320.2,30.8
outlay,Total,Total,2021,6827.4,23004.1,29.7
outlay,Total,Total,2022,5900.4,25517.6,23.1
outlay,Total,Total,2023,6473.9,27330.0,23.7
outlay,Total,Total,2024,6756.8,28828.2,23.4
