component,category,subcategory,projected_year_number,projection_year_range,number_of_projections,average_error,average_absolute_error,RMSE,two_thirds_spread
outlay,Mandatory,Medicare,3,1994-2025,32,2.4,4.5,6.0,9.6
outlay,Mandatory,Medicare,4,1995-2025,31,3.5,5.1,7.1,10.7
outlay,Mandatory,Medicare,5,1996-2025,30,4.5,5.9,8.2,13.9
outlay,Mandatory,Medicare,6,1997-2025,29,6.1,7.2,9.7,15.2
outlay,Mandatory,Medicare,7,2002-2025,24,6.0,7.1,9.0,14.0
outlay,Mandatory,Medicare,8,2003-2025,23,7.5,8.3,10.1,15.0
outlay,Mandatory,Medicare,9,2004-2025,22,8.9,9.0,11.2,13.1
outlay,Mandatory,Medicare,10,2005-2025,21,10.3,10.4,12.5,15.3
outlay,Mandatory,Medicare,11,2006-2025,20,12.1,12.4,14.4,16.3
outlay,Mandatory,Medicaid,1,1992-2025,34,0.6,1.8,2.3,4.4
outlay,Mandatory,Medicaid,2,1993-2025,33,1.1,4.4,5.6,9.5
outlay,Mandatory,Medicaid,3,1994-2025,32,1.7,7.2,9.2,13.8
outlay,Mandatory,Medicaid,4,1995-2025,31,3.3,9.0,11.4,18.7
outlay,Mandatory,Medicaid,5,1996-2025,30,4.9,11.0,14.0,24.4
outlay,Mandatory,Medicaid,6,1997-2025,29,6.7,12.8,16.2,24.8
outlay,Mandatory,Medicaid,7,2002-2025,24,3.7,10.1,11.6,21.7
outlay,Mandatory,Medicaid,8,2003-2025,23,5.4,12.3,13.6,27.4
outlay,Mandatory,Medicaid,9,2004-2025,22,7.0,13.5,15.3,27.6
outlay,Mandatory,Medicaid,10,2005-2025,21,9.3,15.3,17.6,30.5
outlay,Mandatory,Medicaid,11,2006-2025,20,12.0,17.4,20.1,32.4
outlay,Mandatory,Other Mandatory,1,1992-2025,34,3.4,5.1,8.5,7.6
outlay,Mandatory,Other Mandatory,2,1993-2025,33,2.8,8.6,13.3,12.6
outlay,Mandatory,Other Mandatory,3,1994-2025,32,1.0,7.8,10.9,17.8
outlay,Mandatory,Other Mandatory,4,1995-2025,31,-1.6,7.2,10.3,13.6
outlay,Mandatory,Other Mandatory,5,1996-2025,30,-3.3,7.9,11.6,14.1
outlay,Mandatory,Other Mandatory,6,1997-2025,29,-4.0,7.6,10.8,13.7
outlay,Mandatory,Other Mandatory,7,2002-2025,24,-5.9,8.6,11.6,17.7
outlay,Mandatory,Other Mandatory,8,2003-2025,23,-6.6,8.9,11.8,14.6
outlay,Mandatory,Other Mandatory,9,2004-2025,22,-7.2,9.5,12.4,19.9
outlay,Mandatory,Other Mandatory,10,2005-2025,21,-7.8,10.2,12.8,15.7
outlay,Mandatory,Other Mandatory,11,2006-2025,20,-8.5,10.7,13.2,15.3
outlay,Discretionary,Total Discretionary,1,1992-2025,34,0.8,1.0,1.2,1.7
outlay,Discretionary,Total Discretionary,2,1993-2025,33,1.5,1.6,2.0,2.8
outlay,Discretionary,Total Discretionary,3,1994-2025,32,1.9,1.9,2.3,2.8
outlay,Discretionary,Total Discretionary,4,1995-2025,31,1.9,2.0,2.5,3.5
outlay,Discretionary,Total Discretionary,5,1996-2025,30,2.0,2.1,2.7,3.4
outlay,Discretionary,Total Discretionary,6,1997-2025,29,2.2,2.3,2.8,3.5
outlay,Discretionary,Total Discretionary,7,2002-2025,24,2.4,2.4,3.0,4.3
outlay,Discretionary,Total Discretionary,8,2003-2025,23,2.7,2.7,3.3,4.2
outlay,Discretionary,Total Discretionary,9,2004-2025,22,3.0,3.0,3.5,4.3
outlay,Discretionary,Total Discretionary,10,2005-2025,21,3.3,3.3,3.8,3.4
outlay,Discretionary,Total Discretionary,11,2006-2025,20,3.7,3.7,4.3,4.1
outlay,Discretionary,Defense Discretionary,1,1998-2025,28,-0.0,0.9,1.2,2.2
outlay,Discretionary,Defense Discretionary,2,1999-2025,27,0.7,1.4,1.7,2.4
outlay,Discretionary,Defense Discretionary,3,2000-2025,26,0.8,1.6,2.1,3.2
outlay,Discretionary,Defense Discretionary,4,2001-2025,25,0.9,1.8,2.3,3.9
outlay,Discretionary,Defense Discretionary,5,2002-2025,24,1.1,1.9,2.3,4.5
outlay,Discretionary,Defense Discretionary,6,2003-2025,23,1.2,1.9,2.3,4.2
outlay,Discretionary,Defense Discretionary,7,2004-2025,22,1.3,2.0,2.6,4.7
outlay,Discretionary,Defense Discretionary,8,2005-2025,21,1.6,2.1,2.8,4.2
outlay,Discretionary,Defense Discretionary,9,2006-2025,20,1.8,2.5,3.0,4.5
outlay,Discretionary,Defense Discretionary,10,2007-2025,19,2.1,2.6,3.2,5.4
outlay,Discretionary,Defense Discretionary,11,2008-2025,18,2.3,2.8,3.6,5.7
outlay,Discretionary,Nondefense Discretionary,1,1998-2025,28,1.4,1.7,2.1,2.4
outlay,Discretionary,Nondefense Discretionary,2,1999-2025,27,2.6,2.8,3.4,3.3
outlay,Discretionary,Nondefense Discretionary,3,2000-2025,26,3.3,3.3,3.9,4.5
outlay,Discretionary,Nondefense Discretionary,4,2001-2025,25,3.2,3.3,3.9,5.1
outlay,Discretionary,Nondefense Discretionary,5,2002-2025,24,3.3,3.5,4.1,4.7
outlay,Discretionary,Nondefense Discretionary,6,2003-2025,23,3.6,3.7,4.3,4.5
outlay,Discretionary,Nondefense Discretionary,7,2004-2025,22,3.8,3.8,4.4,4.5
outlay,Discretionary,Nondefense Discretionary,8,2005-2025,21,4.0,4.1,4.7,4.9
outlay,Discretionary,Nondefense Discretionary,9,2006-2025,20,4.4,4.6,5.0,3.8
outlay,Discretionary,Nondefense Discretionary,10,2007-2025,19,4.7,4.7,5.1,3.6
outlay,Discretionary,Nondefense Discretionary,11,2008-2025,18,5.0,5.0,5.6,5.2
outlay,Net Interest,Net Interest,1,1992-2025,34,-0.8,3.2,4.8,5.6
outlay,Net Interest,Net Interest,2,1993-2025,33,3.3,10.5,13.9,20.4
outlay,Net Interest,Net Interest,3,1994-2025,32,12.1,20.5,25.8,39.3
outlay,Net Interest,Net Interest,4,1995-2025,31,22.7,30.7,36.6,49.8
outlay,Net Interest,Net Interest,5,1996-2025,30,35.0,41.6,49.5,59.7
outlay,Net Interest,Net Interest,6,1997-2025,29,48.3,53.3,62.9,68.8
outlay,Net Interest,Net Interest,7,2002-2025,24,65.2,69.2,80.1,95.3
outlay,Net Interest,Net Interest,8,2003-2025,23,74.0,78.1,88.8,103.7
outlay,Net Interest,Net Interest,9,2004-2025,22,79.5,80.9,92.2,97.8
outlay,Net Interest,Net Interest,10,2005-2025,21,85.5,85.9,96.5,89.7
outlay,Net Interest,Net Interest,11,2006-2025,20,92.4,92.4,103.7,92.8
