component,category,subcategory,changes_baseline_date,change_category,projected_fiscal_year,value
deficit,Total,Total,1989-02-01,Legislative,1994,0.0
deficit,Total,Total,1989-08-01,Legislative,1989,-14.564
deficit,Total,Total,1989-08-01,Legislative,1990,-5.515
deficit,Total,Total,1989-08-01,Legislative,1991,0.704
deficit,Total,Total,1989-08-01,Legislative,1992,-1.083
deficit,Total,Total,1989-08-01,Legislative,1993,-12.691
deficit,Total,Total,1989-08-01,Legislative,1994,-2.786
deficit,Total,Total,1990-01-01,Legislative,1990,12.049
deficit,Total,Total,1990-01-01,Legislative,1991,5.459
deficit,Total,Total,1990-01-01,Legislative,1992,8.03
deficit,Total,Total,1990-01-01,Legislative,1993,9.29
deficit,Total,Total,1990-01-01,Legislative,1994,12.499
deficit,Total,Total,1990-03-01,Legislative,1990,0.0
deficit,Total,Total,1990-03-01,Legislative,1991,0.0
deficit,Total,Total,1990-03-01,Legislative,1992,0.0
deficit,Total,Total,1990-03-01,Legislative,1993,0.0
deficit,Total,Total,1990-03-01,Legislative,1994,0.0
deficit,Total,Total,1990-03-01,Legislative,1995,0.0
deficit,Total,Total,1990-07-01,Legislative,1990,-0.157
deficit,Total,Total,1990-07-01,Legislative,1991,-0.71
deficit,Total,Total,1990-07-01,Legislative,1992,-0.454
deficit,Total,Total,1990-07-01,Legislative,1993,-0.394
deficit,Total,Total,1990-07-01,Legislative,1994,-0.336
deficit,Total,Total,1990-07-01,Legislative,1995,-0.447
deficit,Total,Total,1991-01-01,Legislative,1991,33.275
deficit,Total,Total,1991-01-01,Legislative,1992,66.584
deficit,Total,Total,1991-01-01,Legislative,1993,86.348
deficit,Total,Total,1991-01-01,Legislative,1994,129.439
deficit,Total,Total,1991-01-01,Legislative,1995,159.56
deficit,Total,Total,1991-03-01,Legislative,1991,-0.733
deficit,Total,Total,1991-03-01,Legislative,1992,-0.27
deficit,Total,Total,1991-03-01,Legislative,1993,-0.001
deficit,Total,Total,1991-03-01,Legislative,1994,0.0
deficit,Total,Total,1991-03-01,Legislative,1995,0.0
deficit,Total,Total,1991-03-01,Legislative,1996,0.0
deficit,Total,Total,1991-08-01,Legislative,1991,-3.491
deficit,Total,Total,1991-08-01,Legislative,1992,-15.974
deficit,Total,Total,1991-08-01,Legislative,1993,-3.852
deficit,Total,Total,1991-08-01,Legislative,1994,-2.643
deficit,Total,Total,1991-08-01,Legislative,1995,-2.625
deficit,Total,Total,1991-08-01,Legislative,1996,-2.392
deficit,Total,Total,1992-01-01,Legislative,1992,-8.012
deficit,Total,Total,1992-01-01,Legislative,1993,-1.892
deficit,Total,Total,1992-01-01,Legislative,1994,-1.925
deficit,Total,Total,1992-01-01,Legislative,1995,-1.293
deficit,Total,Total,1992-01-01,Legislative,1996,-0.501
deficit,Total,Total,1992-03-01,Legislative,1992,-17.257
deficit,Total,Total,1992-03-01,Legislative,1993,-5.663
deficit,Total,Total,1992-03-01,Legislative,1994,-1.038
deficit,Total,Total,1992-03-01,Legislative,1995,-1.54
deficit,Total,Total,1992-03-01,Legislative,1996,-1.943
deficit,Total,Total,1992-03-01,Legislative,1997,-1.648
deficit,Total,Total,1992-08-01,Legislative,1992,0.824
deficit,Total,Total,1992-08-01,Legislative,1993,-0.121
deficit,Total,Total,1992-08-01,Legislative,1994,-0.893
deficit,Total,Total,1992-08-01,Legislative,1995,-0.391
deficit,Total,Total,1992-08-01,Legislative,1996,1.106
deficit,Total,Total,1992-08-01,Legislative,1997,0.892
deficit,Total,Total,1993-01-01,Legislative,1992,0.0
deficit,Total,Total,1993-01-01,Legislative,1993,-0.552
deficit,Total,Total,1993-01-01,Legislative,1994,-1.244
deficit,Total,Total,1993-01-01,Legislative,1995,0.193
deficit,Total,Total,1993-01-01,Legislative,1996,-0.284
deficit,Total,Total,1993-01-01,Legislative,1997,-0.029
deficit,Total,Total,1993-03-01,Legislative,1993,0.0
deficit,Total,Total,1993-03-01,Legislative,1994,0.0
deficit,Total,Total,1993-03-01,Legislative,1995,0.0
deficit,Total,Total,1993-03-01,Legislative,1996,0.0
deficit,Total,Total,1993-03-01,Legislative,1997,0.0
deficit,Total,Total,1993-03-01,Legislative,1998,0.0
deficit,Total,Total,1993-09-01,Legislative,1993,-3.644
deficit,Total,Total,1993-09-01,Legislative,1994,26.364
deficit,Total,Total,1993-09-01,Legislative,1995,53.61
deficit,Total,Total,1993-09-01,Legislative,1996,82.048
deficit,Total,Total,1993-09-01,Legislative,1997,117.321
deficit,Total,Total,1993-09-01,Legislative,1998,142.64
deficit,Total,Total,1994-01-01,Legislative,1993,0.0
deficit,Total,Total,1994-01-01,Legislative,1994,-2.365
deficit,Total,Total,1994-01-01,Legislative,1995,-0.124
deficit,Total,Total,1994-01-01,Legislative,1996,0.016
deficit,Total,Total,1994-01-01,Legislative,1997,0.194
deficit,Total,Total,1994-01-01,Legislative,1998,1.33
deficit,Total,Total,1994-04-01,Legislative,1994,-3.404
deficit,Total,Total,1994-04-01,Legislative,1995,-4.856
deficit,Total,Total,1994-04-01,Legislative,1996,-2.277
deficit,Total,Total,1994-04-01,Legislative,1997,-0.426
deficit,Total,Total,1994-04-01,Legislative,1998,-0.166
deficit,Total,Total,1994-04-01,Legislative,1999,-0.171
deficit,Total,Total,1994-08-01,Legislative,1994,0.399
deficit,Total,Total,1994-08-01,Legislative,1995,-0.184
deficit,Total,Total,1994-08-01,Legislative,1996,-0.123
deficit,Total,Total,1994-08-01,Legislative,1997,0.096
deficit,Total,Total,1994-08-01,Legislative,1998,0.147
deficit,Total,Total,1994-08-01,Legislative,1999,0.012
deficit,Total,Total,1995-01-01,Legislative,1994,-0.66
deficit,Total,Total,1995-01-01,Legislative,1995,-2.128
deficit,Total,Total,1995-01-01,Legislative,1996,-2.161
deficit,Total,Total,1995-01-01,Legislative,1997,-1.683
deficit,Total,Total,1995-01-01,Legislative,1998,-2.818
deficit,Total,Total,1995-01-01,Legislative,1999,-3.287
deficit,Total,Total,1995-04-01,Legislative,1995,0.0
deficit,Total,Total,1995-04-01,Legislative,1996,0.0
deficit,Total,Total,1995-04-01,Legislative,1997,0.0
deficit,Total,Total,1995-04-01,Legislative,1998,0.0
deficit,Total,Total,1995-04-01,Legislative,1999,0.0
deficit,Total,Total,1995-04-01,Legislative,2000,0.0
deficit,Total,Total,1995-08-01,Legislative,1995,-0.197
deficit,Total,Total,1995-08-01,Legislative,1996,1.721
deficit,Total,Total,1995-08-01,Legislative,1997,0.705
deficit,Total,Total,1995-08-01,Legislative,1998,0.346
deficit,Total,Total,1995-08-01,Legislative,1999,0.395
deficit,Total,Total,1995-08-01,Legislative,2000,0.453
deficit,Total,Total,1995-12-01,Legislative,1995,0.0
deficit,Total,Total,1995-12-01,Legislative,1996,0.036
deficit,Total,Total,1995-12-01,Legislative,1997,0.061
deficit,Total,Total,1995-12-01,Legislative,1998,0.053
deficit,Total,Total,1995-12-01,Legislative,1999,0.045
deficit,Total,Total,1995-12-01,Legislative,2000,0.046
deficit,Total,Total,1996-05-01,Legislative,1996,15.489
deficit,Total,Total,1996-05-01,Legislative,1997,6.178
deficit,Total,Total,1996-05-01,Legislative,1998,1.724
deficit,Total,Total,1996-05-01,Legislative,1999,3.583
deficit,Total,Total,1996-05-01,Legislative,2000,4.428
deficit,Total,Total,1997-01-01,Legislative,1996,-0.986
deficit,Total,Total,1997-01-01,Legislative,1997,14.31
deficit,Total,Total,1997-01-01,Legislative,1998,7.886
deficit,Total,Total,1997-01-01,Legislative,1999,10.786
deficit,Total,Total,1997-01-01,Legislative,2000,12.257
deficit,Total,Total,1997-01-01,Legislative,2001,13.289
deficit,Total,Total,1997-01-01,Legislative,2002,17.09
deficit,Total,Total,1997-01-01,Legislative,2003,19.241
deficit,Total,Total,1997-01-01,Legislative,2004,21.606
deficit,Total,Total,1997-01-01,Legislative,2005,24.972
deficit,Total,Total,1997-01-01,Legislative,2006,28.112
deficit,Total,Total,1997-03-01,Legislative,1997,0.0
deficit,Total,Total,1997-03-01,Legislative,1998,0.0
deficit,Total,Total,1997-03-01,Legislative,1999,0.0
deficit,Total,Total,1997-03-01,Legislative,2000,0.0
deficit,Total,Total,1997-03-01,Legislative,2001,0.0
deficit,Total,Total,1997-03-01,Legislative,2002,0.0
deficit,Total,Total,1997-03-01,Legislative,2003,0.0
deficit,Total,Total,1997-03-01,Legislative,2004,0.0
deficit,Total,Total,1997-03-01,Legislative,2005,0.0
deficit,Total,Total,1997-03-01,Legislative,2006,0.0
deficit,Total,Total,1997-03-01,Legislative,2007,0.0
deficit,Total,Total,1997-09-01,Legislative,1997,1.912
deficit,Total,Total,1997-09-01,Legislative,1998,-20.775
deficit,Total,Total,1997-09-01,Legislative,1999,3.103
deficit,Total,Total,1997-09-01,Legislative,2000,20.263
deficit,Total,Total,1997-09-01,Legislative,2001,20.98
deficit,Total,Total,1997-09-01,Legislative,2002,94.63
deficit,Total,Total,1997-09-01,Legislative,2003,72.066
deficit,Total,Total,1997-09-01,Legislative,2004,82.749
deficit,Total,Total,1997-09-01,Legislative,2005,94.538
deficit,Total,Total,1997-09-01,Legislative,2006,118.322
deficit,Total,Total,1997-09-01,Legislative,2007,109.351
deficit,Total,Total,1998-01-01,Legislative,1998,0.744
deficit,Total,Total,1998-01-01,Legislative,1999,-0.047
deficit,Total,Total,1998-01-01,Legislative,2000,0.118
deficit,Total,Total,1998-01-01,Legislative,2001,3.224
deficit,Total,Total,1998-01-01,Legislative,2002,-2.736
deficit,Total,Total,1998-01-01,Legislative,2003,0.222
deficit,Total,Total,1998-01-01,Legislative,2004,0.273
deficit,Total,Total,1998-01-01,Legislative,2005,0.319
deficit,Total,Total,1998-01-01,Legislative,2006,0.359
deficit,Total,Total,1998-01-01,Legislative,2007,0.41
deficit,Total,Total,1998-03-01,Legislative,1998,0.0
deficit,Total,Total,1998-03-01,Legislative,1999,0.0
deficit,Total,Total,1998-03-01,Legislative,2000,0.0
deficit,Total,Total,1998-03-01,Legislative,2001,0.0
deficit,Total,Total,1998-03-01,Legislative,2002,0.0
deficit,Total,Total,1998-03-01,Legislative,2003,0.0
deficit,Total,Total,1998-03-01,Legislative,2004,0.0
deficit,Total,Total,1998-03-01,Legislative,2005,0.0
deficit,Total,Total,1998-03-01,Legislative,2006,0.0
deficit,Total,Total,1998-03-01,Legislative,2007,0.0
deficit,Total,Total,1998-03-01,Legislative,2008,0.0
deficit,Total,Total,1998-08-01,Legislative,1998,-0.47
deficit,Total,Total,1998-08-01,Legislative,1999,-1.572
deficit,Total,Total,1998-08-01,Legislative,2000,-3.8
deficit,Total,Total,1998-08-01,Legislative,2001,-4.801
deficit,Total,Total,1998-08-01,Legislative,2002,-4.849
deficit,Total,Total,1998-08-01,Legislative,2003,-4.439
deficit,Total,Total,1998-08-01,Legislative,2004,-3.615
deficit,Total,Total,1998-08-01,Legislative,2005,-0.291
deficit,Total,Total,1998-08-01,Legislative,2006,0.512
deficit,Total,Total,1998-08-01,Legislative,2007,0.76
deficit,Total,Total,1998-08-01,Legislative,2008,2.007
deficit,Total,Total,1999-01-01,Legislative,1999,-16.967
deficit,Total,Total,1999-01-01,Legislative,2000,-6.282
deficit,Total,Total,1999-01-01,Legislative,2001,-2.58
deficit,Total,Total,1999-01-01,Legislative,2002,-4.089
deficit,Total,Total,1999-01-01,Legislative,2003,-3.593
deficit,Total,Total,1999-01-01,Legislative,2004,-3.259
deficit,Total,Total,1999-01-01,Legislative,2005,-3.439
deficit,Total,Total,1999-01-01,Legislative,2006,-3.519
deficit,Total,Total,1999-01-01,Legislative,2007,-3.418
deficit,Total,Total,1999-01-01,Legislative,2008,-3.478
deficit,Total,Total,1999-04-01,Legislative,1999,0.0
deficit,Total,Total,1999-04-01,Legislative,2000,0.0
deficit,Total,Total,1999-04-01,Legislative,2001,0.0
deficit,Total,Total,1999-04-01,Legislative,2002,0.0
deficit,Total,Total,1999-04-01,Legislative,2003,0.0
deficit,Total,Total,1999-04-01,Legislative,2004,0.0
deficit,Total,Total,1999-04-01,Legislative,2005,0.0
deficit,Total,Total,1999-04-01,Legislative,2006,0.0
deficit,Total,Total,1999-04-01,Legislative,2007,0.0
deficit,Total,Total,1999-04-01,Legislative,2008,0.0
deficit,Total,Total,1999-04-01,Legislative,2009,0.0
deficit,Total,Total,1999-07-01,Legislative,1999,-3.708
deficit,Total,Total,1999-07-01,Legislative,2000,-7.773
deficit,Total,Total,1999-07-01,Legislative,2001,-3.571
deficit,Total,Total,1999-07-01,Legislative,2002,-2.493
deficit,Total,Total,1999-07-01,Legislative,2003,-2.658
deficit,Total,Total,1999-07-01,Legislative,2004,-2.746
deficit,Total,Total,1999-07-01,Legislative,2005,-2.928
deficit,Total,Total,1999-07-01,Legislative,2006,-3.12
deficit,Total,Total,1999-07-01,Legislative,2007,-3.328
deficit,Total,Total,1999-07-01,Legislative,2008,-3.629
deficit,Total,Total,1999-07-01,Legislative,2009,-3.871
deficit,Total,Total,2000-01-01,Legislative,1999,0.0
deficit,Total,Total,2000-01-01,Legislative,2000,-29.665
deficit,Total,Total,2000-01-01,Legislative,2001,-16.781
deficit,Total,Total,2000-01-01,Legislative,2002,-17.538
deficit,Total,Total,2000-01-01,Legislative,2003,-9.908
deficit,Total,Total,2000-01-01,Legislative,2004,-9.008
deficit,Total,Total,2000-01-01,Legislative,2005,-8.385
deficit,Total,Total,2000-01-01,Legislative,2006,-8.22
deficit,Total,Total,2000-01-01,Legislative,2007,-8.764
deficit,Total,Total,2000-01-01,Legislative,2008,-9.18
deficit,Total,Total,2000-01-01,Legislative,2009,-9.511
deficit,Total,Total,2000-04-01,Legislative,2000,0.0
deficit,Total,Total,2000-04-01,Legislative,2001,0.0
deficit,Total,Total,2000-04-01,Legislative,2002,0.0
deficit,Total,Total,2000-04-01,Legislative,2003,0.0
deficit,Total,Total,2000-04-01,Legislative,2004,0.0
deficit,Total,Total,2000-04-01,Legislative,2005,0.0
deficit,Total,Total,2000-04-01,Legislative,2006,0.0
deficit,Total,Total,2000-04-01,Legislative,2007,0.0
deficit,Total,Total,2000-04-01,Legislative,2008,0.0
deficit,Total,Total,2000-04-01,Legislative,2009,0.0
deficit,Total,Total,2000-04-01,Legislative,2010,0.0
deficit,Total,Total,2000-07-01,Legislative,2000,-9.582
deficit,Total,Total,2000-07-01,Legislative,2001,-7.846
deficit,Total,Total,2000-07-01,Legislative,2002,-7.078
deficit,Total,Total,2000-07-01,Legislative,2003,-7.002
deficit,Total,Total,2000-07-01,Legislative,2004,-6.903
deficit,Total,Total,2000-07-01,Legislative,2005,-6.579
deficit,Total,Total,2000-07-01,Legislative,2006,-6.58
deficit,Total,Total,2000-07-01,Legislative,2007,-6.495
deficit,Total,Total,2000-07-01,Legislative,2008,-6.363
deficit,Total,Total,2000-07-01,Legislative,2009,-5.697
deficit,Total,Total,2000-07-01,Legislative,2010,-5.872
deficit,Total,Total,2001-01-01,Legislative,2000,-13.566
deficit,Total,Total,2001-01-01,Legislative,2001,-75.386
deficit,Total,Total,2001-01-01,Legislative,2002,-135.397
deficit,Total,Total,2001-01-01,Legislative,2003,-150.437
deficit,Total,Total,2001-01-01,Legislative,2004,-162.347
deficit,Total,Total,2001-01-01,Legislative,2005,-178.779
deficit,Total,Total,2001-01-01,Legislative,2006,-189.743
deficit,Total,Total,2001-01-01,Legislative,2007,-202.581
deficit,Total,Total,2001-01-01,Legislative,2008,-221.178
deficit,Total,Total,2001-01-01,Legislative,2009,-239.201
deficit,Total,Total,2001-01-01,Legislative,2010,-256.28
deficit,Total,Total,2001-05-01,Legislative,2001,0.0
deficit,Total,Total,2001-05-01,Legislative,2002,0.0
deficit,Total,Total,2001-05-01,Legislative,2003,0.0
deficit,Total,Total,2001-05-01,Legislative,2004,0.0
deficit,Total,Total,2001-05-01,Legislative,2005,0.0
deficit,Total,Total,2001-05-01,Legislative,2006,0.0
deficit,Total,Total,2001-05-01,Legislative,2007,0.0
deficit,Total,Total,2001-05-01,Legislative,2008,0.0
deficit,Total,Total,2001-05-01,Legislative,2009,0.0
deficit,Total,Total,2001-05-01,Legislative,2010,0.0
deficit,Total,Total,2001-05-01,Legislative,2011,0.0
deficit,Total,Total,2001-08-01,Legislative,2001,-81.179
deficit,Total,Total,2001-08-01,Legislative,2002,-52.039
deficit,Total,Total,2001-08-01,Legislative,2003,-107.472
deficit,Total,Total,2001-08-01,Legislative,2004,-130.958
deficit,Total,Total,2001-08-01,Legislative,2005,-138.081
deficit,Total,Total,2001-08-01,Legislative,2006,-174.421
deficit,Total,Total,2001-08-01,Legislative,2007,-201.067
deficit,Total,Total,2001-08-01,Legislative,2008,-220.926
deficit,Total,Total,2001-08-01,Legislative,2009,-241.18
deficit,Total,Total,2001-08-01,Legislative,2010,-274.28
deficit,Total,Total,2001-08-01,Legislative,2011,-230.446
deficit,Total,Total,2002-01-01,Legislative,2001,-2.512
deficit,Total,Total,2002-01-01,Legislative,2002,-39.112
deficit,Total,Total,2002-01-01,Legislative,2003,-50.379
deficit,Total,Total,2002-01-01,Legislative,2004,-55.314
deficit,Total,Total,2002-01-01,Legislative,2005,-58.734
deficit,Total,Total,2002-01-01,Legislative,2006,-63.623
deficit,Total,Total,2002-01-01,Legislative,2007,-67.031
deficit,Total,Total,2002-01-01,Legislative,2008,-71.611
deficit,Total,Total,2002-01-01,Legislative,2009,-75.555
deficit,Total,Total,2002-01-01,Legislative,2010,-80.837
deficit,Total,Total,2002-01-01,Legislative,2011,-86.617
deficit,Total,Total,2002-03-01,Legislative,2002,0.169
deficit,Total,Total,2002-03-01,Legislative,2003,-0.355
deficit,Total,Total,2002-03-01,Legislative,2004,-0.916
deficit,Total,Total,2002-03-01,Legislative,2005,-1.097
deficit,Total,Total,2002-03-01,Legislative,2006,-1.143
deficit,Total,Total,2002-03-01,Legislative,2007,-1.213
deficit,Total,Total,2002-03-01,Legislative,2008,-1.3
deficit,Total,Total,2002-03-01,Legislative,2009,-1.424
deficit,Total,Total,2002-03-01,Legislative,2010,-1.545
deficit,Total,Total,2002-03-01,Legislative,2011,-1.673
deficit,Total,Total,2002-03-01,Legislative,2012,-1.812
deficit,Total,Total,2002-08-01,Legislative,2002,-58.945
deficit,Total,Total,2002-08-01,Legislative,2003,-80.31
deficit,Total,Total,2002-08-01,Legislative,2004,-71.488
deficit,Total,Total,2002-08-01,Legislative,2005,-52.591
deficit,Total,Total,2002-08-01,Legislative,2006,-33.513
deficit,Total,Total,2002-08-01,Legislative,2007,-34.735
deficit,Total,Total,2002-08-01,Legislative,2008,-39.228
deficit,Total,Total,2002-08-01,Legislative,2009,-44.356
deficit,Total,Total,2002-08-01,Legislative,2010,-50.605
deficit,Total,Total,2002-08-01,Legislative,2011,-57.096
deficit,Total,Total,2002-08-01,Legislative,2012,-63.14
deficit,Total,Total,2003-01-01,Legislative,2002,0.0
deficit,Total,Total,2003-01-01,Legislative,2003,-13.477
deficit,Total,Total,2003-01-01,Legislative,2004,-9.609
deficit,Total,Total,2003-01-01,Legislative,2005,-9.766
deficit,Total,Total,2003-01-01,Legislative,2006,-7.447
deficit,Total,Total,2003-01-01,Legislative,2007,-5.007
deficit,Total,Total,2003-01-01,Legislative,2008,-3.675
deficit,Total,Total,2003-01-01,Legislative,2009,-3.316
deficit,Total,Total,2003-01-01,Legislative,2010,-3.754
deficit,Total,Total,2003-01-01,Legislative,2011,-3.749
deficit,Total,Total,2003-01-01,Legislative,2012,-3.875
deficit,Total,Total,2003-03-01,Legislative,2003,-13.55
deficit,Total,Total,2003-03-01,Legislative,2004,-22.211
deficit,Total,Total,2003-03-01,Legislative,2005,-23.64
deficit,Total,Total,2003-03-01,Legislative,2006,-26.224
deficit,Total,Total,2003-03-01,Legislative,2007,-29.267
deficit,Total,Total,2003-03-01,Legislative,2008,-32.466
deficit,Total,Total,2003-03-01,Legislative,2009,-35.296
deficit,Total,Total,2003-03-01,Legislative,2010,-37.313
deficit,Total,Total,2003-03-01,Legislative,2011,-39.178
deficit,Total,Total,2003-03-01,Legislative,2012,-40.975
deficit,Total,Total,2003-03-01,Legislative,2013,-43.529
deficit,Total,Total,2003-08-01,Legislative,2003,-98.823
deficit,Total,Total,2003-08-01,Legislative,2004,-227.396
deficit,Total,Total,2003-08-01,Legislative,2005,-178.403
deficit,Total,Total,2003-08-01,Legislative,2006,-125.83
deficit,Total,Total,2003-08-01,Legislative,2007,-130.47
deficit,Total,Total,2003-08-01,Legislative,2008,-145.529
deficit,Total,Total,2003-08-01,Legislative,2009,-150.879
deficit,Total,Total,2003-08-01,Legislative,2010,-154.54
deficit,Total,Total,2003-08-01,Legislative,2011,-157.623
deficit,Total,Total,2003-08-01,Legislative,2012,-169.097
deficit,Total,Total,2003-08-01,Legislative,2013,-182.551
deficit,Total,Total,2004-01-01,Legislative,2003,-0.169
deficit,Total,Total,2004-01-01,Legislative,2004,-4.917
deficit,Total,Total,2004-01-01,Legislative,2005,-17.321
deficit,Total,Total,2004-01-01,Legislative,2006,-44.789
deficit,Total,Total,2004-01-01,Legislative,2007,-62.496
deficit,Total,Total,2004-01-01,Legislative,2008,-70.236
deficit,Total,Total,2004-01-01,Legislative,2009,-77.52
deficit,Total,Total,2004-01-01,Legislative,2010,-86.292
deficit,Total,Total,2004-01-01,Legislative,2011,-94.84
deficit,Total,Total,2004-01-01,Legislative,2012,-105.665
deficit,Total,Total,2004-01-01,Legislative,2013,-117.248
deficit,Total,Total,2004-03-01,Legislative,2004,0.022
deficit,Total,Total,2004-03-01,Legislative,2005,0.038
deficit,Total,Total,2004-03-01,Legislative,2006,0.045
deficit,Total,Total,2004-03-01,Legislative,2007,0.052
deficit,Total,Total,2004-03-01,Legislative,2008,0.05
deficit,Total,Total,2004-03-01,Legislative,2009,0.056
deficit,Total,Total,2004-03-01,Legislative,2010,0.067
deficit,Total,Total,2004-03-01,Legislative,2011,0.102
deficit,Total,Total,2004-03-01,Legislative,2012,0.114
deficit,Total,Total,2004-03-01,Legislative,2013,0.151
deficit,Total,Total,2004-03-01,Legislative,2014,0.186
deficit,Total,Total,2004-09-01,Legislative,2004,2.765
deficit,Total,Total,2004-09-01,Legislative,2005,-23.009
deficit,Total,Total,2004-09-01,Legislative,2006,-36.905
deficit,Total,Total,2004-09-01,Legislative,2007,-42.791
deficit,Total,Total,2004-09-01,Legislative,2008,-45.511
deficit,Total,Total,2004-09-01,Legislative,2009,-49.9
deficit,Total,Total,2004-09-01,Legislative,2010,-53.746
deficit,Total,Total,2004-09-01,Legislative,2011,-56.445
deficit,Total,Total,2004-09-01,Legislative,2012,-59.383
deficit,Total,Total,2004-09-01,Legislative,2013,-62.911
deficit,Total,Total,2004-09-01,Legislative,2014,-66.691
deficit,Total,Total,2005-01-01,Legislative,2004,0.0
deficit,Total,Total,2005-01-01,Legislative,2005,-6.121
deficit,Total,Total,2005-01-01,Legislative,2006,28.061
deficit,Total,Total,2005-01-01,Legislative,2007,78.696
deficit,Total,Total,2005-01-01,Legislative,2008,100.343
deficit,Total,Total,2005-01-01,Legislative,2009,113.226
deficit,Total,Total,2005-01-01,Legislative,2010,123.404
deficit,Total,Total,2005-01-01,Legislative,2011,141.61
deficit,Total,Total,2005-01-01,Legislative,2012,151.434
deficit,Total,Total,2005-01-01,Legislative,2013,161.009
deficit,Total,Total,2005-01-01,Legislative,2014,170.257
deficit,Total,Total,2005-03-01,Legislative,2005,-0.011
deficit,Total,Total,2005-03-01,Legislative,2006,0.009
deficit,Total,Total,2005-03-01,Legislative,2007,0.0
deficit,Total,Total,2005-03-01,Legislative,2008,0.0
deficit,Total,Total,2005-03-01,Legislative,2009,0.0
deficit,Total,Total,2005-03-01,Legislative,2010,0.0
deficit,Total,Total,2005-03-01,Legislative,2011,0.0
deficit,Total,Total,2005-03-01,Legislative,2012,0.0
deficit,Total,Total,2005-03-01,Legislative,2013,0.0
deficit,Total,Total,2005-03-01,Legislative,2014,0.0
deficit,Total,Total,2005-03-01,Legislative,2015,0.0
deficit,Total,Total,2005-08-01,Legislative,2005,-33.607
deficit,Total,Total,2005-08-01,Legislative,2006,-80.333
